1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
240,n/a,Indiana,IN,08/11/2016,Denny Carroll,Jackson,"Jackson, Denny Carroll",,W,121,,0.00%,
241,P60018017,Indiana,IN,08/11/2016,Emidio,Soltysik,"Soltysik, Emidio",,W,57,,0.00%,
242,P20004511,Indiana,IN,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,49,,0.00%,
243,n/a,Indiana,IN,08/11/2016,Melissa L.,Kelly,"Kelly, Melissa L.",,W,44,,0.00%,
244,n/a,Indiana,IN,08/11/2016,Richard,Duncan,"Duncan, Richard",,W,25,,0.00%,
245,n/a,Indiana,IN,08/11/2016,Richard G.,Mullis,"Mullis, Richard G.",,W,22,,0.00%,
246,P60016342,Indiana,IN,08/11/2016,Roque,De La Fuente,"De La Fuente, Roque",,W,21,,0.00%,
247,n/a,Indiana,IN,08/11/2016,Ray C.,Brown,"Brown, Ray C.",,IND,11,,0.00%,
248,P60018249,Indiana,IN,08/11/2016,Joseph,Maldonado,"Maldonado, Joseph",,W,7,,0.00%,
249,P60005303,Indiana,IN,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,1,,0.00%,
250,n/a,Indiana,IN,08/11/2016,,,,Total State Votes:,,,"2,734,958",,
251,n/a,Indiana,IN,08/11/2016,,,,,,,,,
252,P80001571,Iowa,IA,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"800,983",,51.15%,W
253,P00003392,Iowa,IA,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"653,669",,41.74%,
254,P20002671,Iowa,IA,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"59,186",,3.78%,
255,n/a,Iowa,IA,08/11/2016,,Scattered,Scattered,,W,"17,746",,1.13%,
256,P60022654,Iowa,IA,08/11/2016,Evan,McMullin,"McMullin, Evan",,NP,"12,366",,0.79%,
257,P20003984,Iowa,IA,08/11/2016,Jill,Stein,"Stein, Jill",,IG,"11,479",,0.73%,
258,P60021102,Iowa,IA,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,CON,"5,335",,0.34%,
259,P60005808,Iowa,IA,08/11/2016,Lynn ,Kahn,"Kahn, Lynn ",,NPI,"2,247",,0.14%,
260,n/a,Iowa,IA,08/11/2016,Dan R. ,Vacek,"Vacek, Dan R. ",,LMN,"2,246",,0.14%,
261,P60016342,Iowa,IA,08/11/2016,Rocky Roque,De La Fuente,"De La Fuente, Rocky Roque",,NP,451,,0.03%,
262,P80005572,Iowa,IA,08/11/2016,Gloria,La Riva,"La Riva, Gloria",,PSL,323,,0.02%,
263,n/a,Iowa,IA,08/11/2016,,,,Total State Votes:,,,"1,566,031",,
264,n/a,Iowa,IA,08/11/2016,,,,,,,,,
265,P80001571,Kansas,KS,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"671,018",,56.65%,W
266,P00003392,Kansas,KS,08/11/2016,Hillary Rodham,Clinton,"Clinton, Hillary Rodham",,DEM,"427,005",,36.05%,
267,P20002671,Kansas,KS,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"55,406",,4.68%,
268,P20003984,Kansas,KS,08/11/2016,Jill,Stein,"Stein, Jill",,IND,"23,506",,1.98%,
269,P60022654,Kansas,KS,08/11/2016,Evan ,McMullin,"McMullin, Evan ",,W,"6,520",,0.55%,
270,P60021102,Kansas,KS,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,646,,0.05%,
271,P60022787,Kansas,KS,08/11/2016,Michael A.,Maturen,"Maturen, Michael A.",,W,214,,0.02%,
272,P20005260,Kansas,KS,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,45,,0.00%,
273,P60020963,Kansas,KS,08/11/2016,Ajay,Sood,"Sood, Ajay",,W,10,,0.00%,
274,P80005572,Kansas,KS,08/11/2016,Gloria,La Riva,"La Riva, Gloria",,W,7,,0.00%,
275,P60015351,Kansas,KS,08/11/2016,Andrew D.,Basiago,"Basiago, Andrew D.",,W,6,,0.00%,
276,P60016623,Kansas,KS,08/11/2016,Mike,Smith,"Smith, Mike",,W,6,,0.00%,
277,P60016342,Kansas,KS,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,3,,0.00%,
278,P60017340,Kansas,KS,08/11/2016,James A.,Hedges,"Hedges, James A.",,W,3,,0.00%,
279,P00003962,Kansas,KS,08/11/2016,Joe C.,Schriner,"Schriner, Joe C.",,W,3,,0.00%,
280,P60005808,Kansas,KS,08/11/2016,Lynn,Kahn,"Kahn, Lynn",,W,2,,0.00%,
281,P60004868,Kansas,KS,08/11/2016,Darryl,Perry,"Perry, Darryl",,W,1,,0.00%,
282,P60007929,Kansas,KS,08/11/2016,Shawna,Sterling,"Sterling, Shawna",,W,1,,0.00%,
283,n/a,Kansas,KS,08/11/2016,,,,Total State Votes:,,,"1,184,402",,
284,n/a,Kansas,KS,08/11/2016,,,,,,,,,
285,P80001571,Kentucky,KY,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,202,971",,62.52%,W
286,P00003392,Kentucky,KY,08/11/2016,Hillary Rodham,Clinton,"Clinton, Hillary Rodham",,DEM,"628,854",,32.68%,
287,P20002671,Kentucky,KY,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"53,752",,2.79%,
288,P60022654,Kentucky,KY,08/11/2016,Evan,McMullin,"McMullin, Evan",,IND,"22,780",,1.18%,
289,P20003984,Kentucky,KY,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"13,913",,0.72%,
290,P60016342,Kentucky,KY,08/11/2016,Rocky Roque,De La Fuente,"De La Fuente, Rocky Roque",,ADP,"1,128",,0.06%,
291,P60021102,Kentucky,KY,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,438,,0.02%,
292,P60022787,Kentucky,KY,08/11/2016,Michael A.,Maturen,"Maturen, Michael A.",,W,155,,0.01%,
293,P20005260,Kentucky,KY,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,39,,0.00%,
294,P60009917,Kentucky,KY,08/11/2016,Chris,Keniston,"Keniston, Chris",,W,22,,0.00%,
295,n/a,Kentucky,KY,08/11/2016,Denny Carroll,Jackson,"Jackson, Denny Carroll",,W,18,,0.00%,
296,n/a,Kentucky,KY,08/11/2016,Craig,Ellis,"Ellis, Craig",,W,14,,0.00%,
297,n/a,Kentucky,KY,08/11/2016,Timothy Allen,Stevens,"Stevens, Timothy Allen",,W,12,,0.00%,
298,P60016623,Kentucky,KY,08/11/2016,Mike,Smith,"Smith, Mike",,W,9,,0.00%,
299,P20004511,Kentucky,KY,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,8,,0.00%,
300,P60023207,Kentucky,KY,08/11/2016,Scott,Cubbler,"Cubbler, Scott",,W,6,,0.00%,
301,n/a,Kentucky,KY,08/11/2016,"Richard Turner, Jr.",Luesing,"Luesing, Richard Turner, Jr.",,W,6,,0.00%,
302,n/a,Kentucky,KY,08/11/2016,Ben,Hartnell,"Hartnell, Ben",,W,5,,0.00%,
303,n/a,Kentucky,KY,08/11/2016,David,Perry,"Perry, David",,W,4,,0.00%,
304,P20004677,Kentucky,KY,08/11/2016,Jerry,White,"White, Jerry",,W,4,,0.00%,
305,P60016904,Kentucky,KY,08/11/2016,Santa Roy A.,Clark,"Clark, Santa Roy A.",,W,2,,0.00%,
306,n/a,Kentucky,KY,08/11/2016,Richard,Duncan,"Duncan, Richard",,W,2,,0.00%,
307,P60018249,Kentucky,KY,08/11/2016,Joseph,Maldonado,"Maldonado, Joseph",,W,2,,0.00%,
308,n/a,Kentucky,KY,08/11/2016,Marshall,Schoenke,"Schoenke, Marshall",,W,2,,0.00%,
309,P60005303,Kentucky,KY,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,1,,0.00%,
310,n/a,Kentucky,KY,08/11/2016,William Martin,Ling,"Ling, William Martin",,W,1,,0.00%,
311,P20002630,Kentucky,KY,08/11/2016,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,1,,0.00%,
312,n/a,Kentucky,KY,08/11/2016,,,,Total State Votes:,,,"1,924,149",,
313,n/a,Kentucky,KY,08/11/2016,,,,,,,,,
314,P80001571,Louisiana,LA,08/11/2016,Donald,Trump,"Trump, Donald",,REP,"1,178,638",,58.09%,W
315,P00003392,Louisiana,LA,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"780,154",,38.45%,
316,P20002671,Louisiana,LA,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"37,978",,1.87%,
317,P20003984,Louisiana,LA,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"14,031",,0.69%,
318,P60022654,Louisiana,LA,08/11/2016,Evan,McMullin,"McMullin, Evan",,CCS,"8,547",,0.42%,
319,P60021102,Louisiana,LA,08/11/2016,Darrell,Castle,"Castle, Darrell",,CON,"3,129",,0.15%,
320,P60009917,Louisiana,LA,08/11/2016,Chris ,Keniston,"Keniston, Chris ",,VP,"1,881",,0.09%,
321,P20005260,Louisiana,LA,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,LFC,"1,581",,0.08%,
322,P20004511,Louisiana,LA,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,IOC,"1,048",,0.05%,
323,P20004768,Louisiana,LA,08/11/2016,Princess,Jacob,"Jacob, Princess",,LTC,749,,0.04%,
324,P80005473,Louisiana,LA,08/11/2016,Alyson,Kennedy,"Kennedy, Alyson",,SWP,480,,0.02%,
325,P80005572,Louisiana,LA,08/11/2016,Gloria,La Riva,"La Riva, Gloria",,SLP,446,,0.02%,
326,P20004677,Louisiana,LA,08/11/2016,Jerry,White,"White, Jerry",,SEA,370,,0.02%,
327,n/a,Louisiana,LA,08/11/2016,,,,Total State Votes:,,,"2,029,032",,
328,n/a,Louisiana,LA,08/11/2016,,,,,,,,,
329,P00003392,Maine,ME,08/11/2016,Hillary R.,Clinton,"Clinton, Hillary R.",,DEM,"357,735",,47.83%,W
330,P80001571,Maine,ME,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"335,593",,44.87%,
331,P20002671,Maine,ME,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"38,105",,5.09%,
332,P20003984,Maine,ME,08/11/2016,Jill,Stein,"Stein, Jill",,GI,"14,251",,1.91%,
333,P60022654,Maine,ME,08/11/2016,David Evan,McMullin,"McMullin, David Evan",,W,"1,887",,0.25%,
334,P60021102,Maine,ME,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,333,,0.04%,
335,P20004511,Maine,ME,08/11/2016,Laurence J.,Kotlikoff,"Kotlikoff, Laurence J.",,W,16,,0.00%,
336,P60005303,Maine,ME,08/11/2016,Cherunda L.,Fox,"Fox, Cherunda L.",,W,7,,0.00%,
337,n/a,Maine,ME,08/11/2016,,,,Total State Votes:,,,"747,927",,
338,n/a,Maine,ME,08/11/2016,,,,,,,,,
339,P00003392,Maryland,MD,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,677,928",,60.33%,W
340,P80001571,Maryland,MD,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"943,169",,33.91%,
341,P20002671,Maryland,MD,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"79,605",,2.86%,
342,P20003984,Maryland,MD,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"35,945",,1.29%,
343,n/a,Maryland,MD,08/11/2016,,Other,Other,,W,"33,263",,1.20%,
344,P60022654,Maryland,MD,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"9,630",,0.35%,
345,P60021102,Maryland,MD,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,566,,0.02%,
346,P60022787,Maryland,MD,08/11/2016,Michael A.,Maturen,"Maturen, Michael A.",,W,504,,0.02%,
347,P60018975,Maryland,MD,08/11/2016,Stephen,McCarthy,"McCarthy, Stephen",,W,97,,0.00%,
348,P20004511,Maryland,MD,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,73,,0.00%,
349,P60016888,Maryland,MD,08/11/2016,Paij,Boring,"Boring, Paij",,W,53,,0.00%,
350,n/a,Maryland,MD,08/11/2016,Janet L.,Reid,"Reid, Janet L.",,W,53,,0.00%,
351,n/a,Maryland,MD,08/11/2016,Martin,Carlisle,"Carlisle, Martin",,W,51,,0.00%,
352,P80005572,Maryland,MD,08/11/2016,Gloria,La Riva,"La Riva, Gloria",,W,48,,0.00%,
353,P60019304,Maryland,MD,08/11/2016,Paul,Adams,"Adams, Paul",,W,44,,0.00%,
354,P20005260,Maryland,MD,08/11/2016,Tom,Hoefling,"Hoefling, Tom",,W,42,,0.00%,
355,n/a,Maryland,MD,08/11/2016,Jacqueline,Gates,"Gates, Jacqueline",,W,36,,0.00%,
356,P60020757,Maryland,MD,08/11/2016,Robert,Buchanan,"Buchanan, Robert",,W,25,,0.00%,
357,n/a,Maryland,MD,08/11/2016,Ben,Hartnell,"Hartnell, Ben",,W,24,,0.00%,
358,P60023686,Maryland,MD,08/11/2016,Joann,Breivogel,"Breivogel, Joann",,W,20,,0.00%,
359,n/a,Maryland,MD,08/11/2016,Richard,Duncan,"Duncan, Richard",,W,18,,0.00%,
360,P60005808,Maryland,MD,08/11/2016,Lynn,Kahn,"Kahn, Lynn",,W,18,,0.00%,
361,P60015013,Maryland,MD,08/11/2016,Cathy Johnson,Pendleton,"Pendleton, Cathy Johnson",,W,17,,0.00%,
362,P60019940,Maryland,MD,08/11/2016,Mary E.,Thomas,"Thomas, Mary E.",,W,16,,0.00%,
363,n/a,Maryland,MD,08/11/2016,Dana E.,Brown,"Brown, Dana E.",,W,15,,0.00%,
364,P60016342,Maryland,MD,08/11/2016,"Roque ""Rocky""",De La Fuente,"De La Fuente, Roque ""Rocky""",,W,14,,0.00%,
365,P60016623,Maryland,MD,08/11/2016,"Michael L. ""Mike""",Smith,"Smith, Michael L. ""Mike""",,W,13,,0.00%,
366,n/a,Maryland,MD,08/11/2016,Sistah,Soldjah,"Soldjah, Sistah",,W,13,,0.00%,
367,P60018249,Maryland,MD,08/11/2016,Joseph A.,Maldonado,"Maldonado, Joseph A.",,W,12,,0.00%,
368,n/a,Maryland,MD,08/11/2016,Coop,Smith,"Smith, Coop",,W,11,,0.00%,
369,n/a,Maryland,MD,08/11/2016,Anthony Tony J.,Valdivia,"Valdivia, Anthony Tony J.",,W,11,,0.00%,
370,P20004677,Maryland,MD,08/11/2016,Jerry,White,"White, Jerry",,W,11,,0.00%,
371,P80004989,Maryland,MD,08/11/2016,Star,Locke,"Locke, Star",,W,10,,0.00%,
372,n/a,Maryland,MD,08/11/2016,Maurice,Symonette,"Symonette, Maurice",,W,10,,0.00%,
373,P60005303,Maryland,MD,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,9,,0.00%,
374,P00003962,Maryland,MD,08/11/2016,Joe,Schriner,"Schriner, Joe",,W,9,,0.00%,
375,P60005550,Maryland,MD,08/11/2016,Shelia,Bolar,"Bolar, Shelia",,W,7,,0.00%,
376,P60005899,Maryland,MD,08/11/2016,"William E., Jr.",Bowhall,"Bowhall, William E., Jr.",,W,7,,0.00%,
377,P60022043,Maryland,MD,08/11/2016,Michael B.,Puskar,"Puskar, Michael B.",,W,7,,0.00%,
378,P60021243,Maryland,MD,08/11/2016,Ameer,Flippin,"Flippin, Ameer",,W,6,,0.00%,
379,P60018017,Maryland,MD,08/11/2016,Emidio,Soltysik,"Soltysik, Emidio",,W,6,,0.00%,
380,,Maryland,MD,08/11/2016,Michael David,Boyles,"Boyles, Michael David",,W,5,,0.00%,
381,P60017340,Maryland,MD,08/11/2016,James,Hedges,"Hedges, James",,W,5,,0.00%,
382,P20005187,Maryland,MD,08/11/2016,"Theodis, Sr.",Brown,"Brown, Theodis, Sr.",,W,4,,0.00%,
383,P60008299,Maryland,MD,08/11/2016,"Gerald, II",Jennings,"Jennings, Gerald, II",,W,4,,0.00%,
384,n/a,Maryland,MD,08/11/2016,Marshall,Schoenke,"Schoenke, Marshall",,W,3,,0.00%,
385,P60007689,Maryland,MD,08/11/2016,Mohammed,Keita,"Keita, Mohammed",,W,2,,0.00%,
386,n/a,Maryland,MD,08/11/2016,J. J.,Vogel-Walcutt,"Vogel-Walcutt, J. J.",,W,2,,0.00%,
387,n/a,Maryland,MD,08/11/2016,Richard Baxter,Edgell,"Edgell, Richard Baxter",,W,1,,0.00%,
388,n/a,Maryland,MD,08/11/2016,Doug,Terry,"Terry, Doug",,W,1,,0.00%,
389,P60023611,Maryland,MD,08/11/2016,Kora Roberta Katz,Vakil,"Vakil, Kora Roberta Katz",,W,1,,0.00%,
390,n/a,Maryland,MD,08/11/2016,Mitchell,Williams,"Williams, Mitchell",,W,1,,0.00%,
391,P60020484,Maryland,MD,08/11/2016,Demetra Jefferson,Wysinger,"Wysinger, Demetra Jefferson",,W,1,,0.00%,
392,n/a,Maryland,MD,08/11/2016,,,,Total State Votes:,,,"2,781,446",,
393,n/a,Maryland,MD,08/11/2016,,,,,,,,,
394,P00003392,Massachusetts,MA,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,995,196",,60.01%,W
395,P80001571,Massachusetts,MA,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,090,893",,32.81%,
396,P20002671,Massachusetts,MA,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"138,018",,4.15%,
397,n/a,Massachusetts,MA,08/11/2016,,All Others,All Others,,W,"50,488",,1.52%,
398,P20003984,Massachusetts,MA,08/11/2016,Jill,Stein,"Stein, Jill",,GR,"47,661",,1.43%,
399,P60022654,Massachusetts,MA,08/11/2016,David,McMullin,"McMullin, David",,W,"2,719",,0.08%,
400,n/a,Massachusetts,MA,08/11/2016,William,Feegbeh,"Feegbeh, William",,W,28,,0.00%,
401,P20004511,Massachusetts,MA,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,28,,0.00%,
402,P60004405,Massachusetts,MA,08/11/2016,Monica G.,Moorehead,"Moorehead, Monica G.",,W,15,,0.00%,
403,n/a,Massachusetts,MA,08/11/2016,,,,Total State Votes:,,,"3,325,046",,
404,n/a,Massachusetts,MA,08/11/2016,,,,,,,,,
405,P80001571,Michigan,MI,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"2,279,543",,47.50%,W
406,P00003392,Michigan,MI,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"2,268,839",,47.27%,
407,P20002671,Michigan,MI,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"172,136",,3.59%,
408,P20003984,Michigan,MI,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"51,463",,1.07%,
409,P60021102,Michigan,MI,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,UST,"16,139",,0.34%,
410,P60022654,Michigan,MI,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"8,177",,0.17%,
411,P60018017,Michigan,MI,08/11/2016,Emidio Mimi,Soltysik,"Soltysik, Emidio Mimi",,NLP,"2,209",,0.05%,
412,P60022787,Michigan,MI,08/11/2016,Michael A.,Maturen,"Maturen, Michael A.",,W,517,,0.01%,
413,P20005260,Michigan,MI,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,95,,0.00%,
414,P20004511,Michigan,MI,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,87,,0.00%,
415,n/a,Michigan,MI,08/11/2016,Ben ,Hartnell,"Hartnell, Ben ",,W,39,,0.00%,
416,P60004405,Michigan,MI,08/11/2016,Monica,Moorehead,"Moorehead, Monica",,W,30,,0.00%,
417,P60005303,Michigan,MI,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,10,,0.00%,
418,n/a,Michigan,MI,08/11/2016,,,,Total State Votes:,,,"4,799,284",,
419,n/a,Michigan,MI,08/11/2016,,,,,,,,,
420,P00003392,Minnesota,MN,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DFL,"1,367,716",,46.44%,W
421,P80001571,Minnesota,MN,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,322,951",,44.92%,
422,P20002671,Minnesota,MN,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"112,972",,3.84%,
423,P60022654,Minnesota,MN,08/11/2016,Evan,McMullin,"McMullin, Evan",,IDP,"53,076",,1.80%,
424,P20003984,Minnesota,MN,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"36,985",,1.26%,
425,n/a,Minnesota,MN,08/11/2016,,Scattered,Scattered,,W,"26,714",,0.91%,
426,n/a,Minnesota,MN,08/11/2016,Dan R. ,Vacek,"Vacek, Dan R. ",,LMN,"11,291",,0.38%,
427,P60021102,Minnesota,MN,08/11/2016,Darrell,Castle,"Castle, Darrell",,CON,"9,456",,0.32%,
428,P80005473,Minnesota,MN,08/11/2016,Alyson,Kennedy,"Kennedy, Alyson",,SWP,"1,672",,0.06%,
429,P60016342,Minnesota,MN,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,ADP,"1,431",,0.05%,
430,P60022787,Minnesota,MN,08/11/2016,Michael Andrew,Maturen,"Maturen, Michael Andrew",,W,244,,0.01%,
431,n/a,Minnesota,MN,08/11/2016,"Jeffrey Ryan, Sr.",Wharton,"Wharton, Jeffrey Ryan, Sr.",,W,53,,0.00%,
432,n/a,Minnesota,MN,08/11/2016,Henry,Bartlett,"Bartlett, Henry",,W,41,,0.00%,
433,P60009917,Minnesota,MN,08/11/2016,Chris,Keniston,"Keniston, Chris",,W,31,,0.00%,
434,n/a,Minnesota,MN,08/11/2016,Daniel,Muffoletto,"Muffoletto, Daniel",,W,29,,0.00%,
435,P20005260,Minnesota,MN,08/11/2016,Tom,Hoefling,"Hoefling, Tom",,W,28,,0.00%,
436,n/a,Minnesota,MN,08/11/2016,Dennis Andrew,Ball,"Ball, Dennis Andrew",,W,24,,0.00%,
437,P20004511,Minnesota,MN,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,17,,0.00%,
438,P60017852,Minnesota,MN,08/11/2016,Clifton,Roberts,"Roberts, Clifton",,W,15,,0.00%,
439,P60018017,Minnesota,MN,08/11/2016,Emidio,Soltysik,"Soltysik, Emidio",,W,15,,0.00%,
440,P80005572,Minnesota,MN,08/11/2016,Gloria,La Riva,"La Riva, Gloria",,W,12,,0.00%,
441,P20004677,Minnesota,MN,08/11/2016,Jerome S. (Jerry),White,"White, Jerome S. (Jerry)",,W,10,,0.00%,
442,P00003962,Minnesota,MN,08/11/2016,Joe,Schriner,"Schriner, Joe",,W,4,,0.00%,
443,n/a,Minnesota,MN,08/11/2016,Arthur E.,Sidner,"Sidner, Arthur E.",,W,4,,0.00%,
444,n/a,Minnesota,MN,08/11/2016,Kirk,Wettschreck,"Wettschreck, Kirk",,W,4,,0.00%,
445,P60016623,Minnesota,MN,08/11/2016,"Michael L. ""Mike""",Smith,"Smith, Michael L. ""Mike""",,W,3,,0.00%,
446,n/a,Minnesota,MN,08/11/2016,Ben,Hartnell,"Hartnell, Ben",,W,2,,0.00%,
447,n/a,Minnesota,MN,08/11/2016,Roger,Koplitz,"Koplitz, Roger",,W,2,,0.00%,
448,n/a,Minnesota,MN,08/11/2016,Srinivasa K.,Mallapadi,"Mallapadi, Srinivasa K.",,W,2,,0.00%,
449,n/a,Minnesota,MN,08/11/2016,Micah,Payeur,"Payeur, Micah",,W,2,,0.00%,
450,n/a,Minnesota,MN,08/11/2016,Richard,Duncan,"Duncan, Richard",,W,1,,0.00%,
451,n/a,Minnesota,MN,08/11/2016,Eric,Gerhard,"Gerhard, Eric",,W,1,,0.00%,
452,n/a,Minnesota,MN,08/11/2016,Darin,Lynch,"Lynch, Darin",,W,1,,0.00%,
453,n/a,Minnesota,MN,08/11/2016,Matthew,Roberts,"Roberts, Matthew",,W,1,,0.00%,
454,n/a,Minnesota,MN,08/11/2016,Platt,Robertson,"Robertson, Platt",,W,1,,0.00%,
455,n/a,Minnesota,MN,08/11/2016,Derrick,Schumacher,"Schumacher, Derrick",,W,1,,0.00%,
456,n/a,Minnesota,MN,08/11/2016,Keith Richard,Snell,"Snell, Keith Richard",,W,1,,0.00%,
457,n/a,Minnesota,MN,08/11/2016,,,,Total State Votes:,,,"2,944,813",,
458,n/a,Minnesota,MN,08/11/2016,,,,,,,,,
459,P80001571,Mississippi,MS,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"700,714",,57.94%,W
460,P00003392,Mississippi,MS,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"485,131",,40.11%,
461,P20002671,Mississippi,MS,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"14,435",,1.19%,
462,P60021102,Mississippi,MS,08/11/2016,Darrell,Castle,"Castle, Darrell",,CON,"3,987",,0.33%,
463,P20003984,Mississippi,MS,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"3,731",,0.31%,
464,P60017340,Mississippi,MS,08/11/2016,Jim,Hedges,"Hedges, Jim",,P,715,,0.06%,
465,P60016342,Mississippi,MS,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,ADP,644,,0.05%,
466,n/a,Mississippi,MS,08/11/2016,,,,Total State Votes:,,,"1,209,357",,
467,n/a,Mississippi,MS,08/11/2016,,,,,,,,,
468,P80001571,Missouri,MO,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,594,511",,56.77%,W
469,P00003392,Missouri,MO,08/11/2016,Hillary Rodham,Clinton,"Clinton, Hillary Rodham",,DEM,"1,071,068",,38.14%,
470,P20002671,Missouri,MO,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"97,359",,3.47%,
471,P20003984,Missouri,MO,08/11/2016,Jill ,Stein,"Stein, Jill ",,GRE,"25,419",,0.91%,
472,P60021102,Missouri,MO,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,CON,"13,092",,0.47%,
473,P60022654,Missouri,MO,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"7,071",,0.25%,
474,P20005260,Missouri,MO,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,48,,0.00%,
475,P20004511,Missouri,MO,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,28,,0.00%,
476,P60016342,Missouri,MO,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,6,,0.00%,
477,n/a,Missouri,MO,08/11/2016,Marshall,Schoenke,"Schoenke, Marshall",,W,3,,0.00%,
478,n/a,Missouri,MO,08/11/2016,,,,Total State Votes:,,,"2,808,605",,
479,n/a,Missouri,MO,08/11/2016,,,,,,,,,
480,P80001571,Montana,MT,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"279,240",,56.17%,W
481,P00003392,Montana,MT,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"177,709",,35.75%,
482,P20002671,Montana,MT,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"28,037",,5.64%,
483,P20003984,Montana,MT,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"7,970",,1.60%,
484,P60022654,Montana,MT,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"2,297",,0.46%,
485,P60016342,Montana,MT,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,ADP,"1,570",,0.32%,
