State,num_deaths,area,Date,full_name
SD,0,Midwest,2020-03-02,South Dakota
WI,0,Midwest,2020-03-02,Wisconsin
AL,0,South,2020-03-02,Alabama
AR,0,South,2020-03-02,Arkansas
FL,0,South,2020-03-02,Florida
GA,0,South,2020-03-02,Georgia
KY,0,South,2020-03-02,Kentucky
LA,0,South,2020-03-02,Louisiana
MS,0,South,2020-03-02,Mississippi
NC,0,South,2020-03-02,North Carolina
SC,0,South,2020-03-02,South Carolina
TN,0,South,2020-03-02,Tennessee
TX,0,South,2020-03-02,Texas
VA,0,South,2020-03-02,Virginia
WV,0,South,2020-03-02,West Virginia
CT,0,Northeast,2020-03-02,Connecticut
DC,0,Northeast,2020-03-02,NA
DE,0,Northeast,2020-03-02,Delaware
MA,0,Northeast,2020-03-02,Massachusetts
MD,0,Northeast,2020-03-02,Maryland
ME,0,Northeast,2020-03-02,Maine
NH,0,Northeast,2020-03-02,New Hampshire
NJ,0,Northeast,2020-03-02,New Jersey
NY,0,Northeast,2020-03-02,New York
PA,0,Northeast,2020-03-02,Pennsylvania
RI,0,Northeast,2020-03-02,Rhode Island
VT,0,Northeast,2020-03-02,Vermont
GU,0,Territories,2020-03-02,NA
MP,0,Territories,2020-03-02,NA
PR,0,Territories,2020-03-02,NA
VI,0,Territories,2020-03-02,NA
AK,0,West,2020-03-03,Alaska
AZ,0,West,2020-03-03,Arizona
CA,0,West,2020-03-03,California
CO,0,West,2020-03-03,Colorado
HI,0,West,2020-03-03,Hawaii
ID,0,West,2020-03-03,Idaho
MT,0,West,2020-03-03,Montana
NM,0,West,2020-03-03,New Mexico
NV,0,West,2020-03-03,Nevada
OR,0,West,2020-03-03,Oregon
UT,0,West,2020-03-03,Utah
WA,3,West,2020-03-03,Washington
WY,0,West,2020-03-03,Wyoming
IA,0,Midwest,2020-03-03,Iowa
IL,0,Midwest,2020-03-03,Illinois
IN,0,Midwest,2020-03-03,Indiana
KS,0,Midwest,2020-03-03,Kansas
MI,0,Midwest,2020-03-03,Michigan
